Point;A2OFRC;B2OFRC;BELTLL1;DABPRES;DABRAD;DUR;DV;EV1;EV2;EV3;FTRIGG;IP2OFRC;KNEEFRC;PDOF_H;PTFORCE;RIMFRC;S2OFRC;SLIPFRC;STWANGLE;STWCOMP;STWTRANS;YAWSF;Risk(45yrs|2ribfx)(%);LOGIT(risk);L1;L2;L3;L4;L5;L6;L7;L8;L9;L10;L11;L12;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12
288;0.395;0.359;4.21;1.3;363;94.7;33.4;1.49;-1.32;0.518;19.2;0.23;4.21;-26.8;1.98;3.71;0.336;0.153;25.5;4.46;-17.7;0.00727;0.64;-5.042569952;0.901747774;0.606493186;1.392665319;0.967850257;0.691976864;0.573154073;0.484953122;0.840261765;1.23286508;0.680321408;0.761673693;0.441722339;0.751004368;0.327266916;0.526453042;0.712594809;0.815472379;0.914220046;0.864905398;0.76830145;0.470425794;0.37607688;0.349856261;0.368451793
289;0.371;0.282;4.63;1.32;319;112;33.9;-2.9;0.984;-0.163;12.2;0.343;15.3;-43.3;1.43;3.21;0.313;0.125;21.6;3.09;18.3;0.00635;6.41;-2.68181611;1.391333807;0.962653011;1.348243747;0.748600345;0.606158469;0.713888556;0.596652459;1.439360995;2.244557813;1.273912191;0.588638708;0.364637934;0.765760895;0.409898767;0.77050752;0.883557461;0.840519741;0.749982707;0.612728857;0.485761371;0.527616963;0.397112081;0.300780474;0.774315186
290;0.3;0.324;3.82;1.32;300;81.6;25.9;-1.85;-0.71;-0.256;47.7;0.314;8.68;-0.471;2.3;3.01;0.294;0.104;23.6;4.65;-26.7;0.00672;0.05;-7.549311025;0.778704556;0.471784733;0.7758772;0.694008125;0.6062428;0.614967337;0.290197041;0.343697262;0.381508609;0.366693106;0.302079762;0.517080259;0.52217585;0.371430558;0.483851507;0.58029443;0.711684534;0.680539431;0.869620312;0.866767112;0.685053738;0.249131769;0.161555316;0.231742673
291;0.207;0.395;4.88;1.32;360;126;40.7;1.44;0.146;0.353;16.3;0.299;14.1;-28.1;1.76;2.07;0.224;0.212;22.8;3.59;-21.8;0.00598;8;-2.442552011;1.879262738;1.053692307;2.132934518;0.92405472;0.64977631;0.588068878;0.529073132;1.220491529;1.497743372;0.829182193;0.796910375;0.281924801;0.625441596;0.322275166;0.735379802;0.887320936;0.865534879;0.868686941;0.738194725;0.581327453;0.391019741;0.257168873;0.169409218;0.236529042
292;0.251;0.364;4.71;1.3;323;103;14.5;-1.27;-0.106;-0.297;21;0.294;13.7;8.88;2.06;2.6;0.33;0.163;23.8;5.52;-13.1;0.00849;0;-12.00542069;0.262146886;0.464637717;0.601853617;0.542826904;0.33326163;0.229018484;0.177691202;0.190719601;0.199250109;0.18577975;0.215400942;0.179823395;0.291494513;0.148461771;0.204389496;0.260919239;0.33335723;0.403652014;0.466732727;0.432636775;0.277941371;0.191970484;0.123689161;0.175963738
293;0.397;0.357;4.13;1.4;326;89.6;17.1;-0.347;-0.241;1.29;23;0.211;8.48;-13.5;1.18;2.64;0.35;0.23;25.1;4.67;2.41;0.0102;0;-10.01778686;0.318033318;0.483711576;0.72228699;0.627368921;0.465321075;0.320983469;0.253351056;0.366323767;0.416593393;0.513340672;0.396017823;0.167201157;0.471762381;0.233030133;0.387818133;0.490644481;0.48010475;0.523986435;0.544318976;0.471539004;0.270897336;0.209866557;0.214255601;0.124081038
294;0.317;0.385;4.42;1.44;314;83.8;12.6;1.74;0.495;1.11;32.7;0.289;3.63;-3.09;1.51;2.67;0.365;0.0812;24.8;4.43;-22.8;0.00784;0;-11.79282076;0.213313987;0.460790284;0.591549324;0.531376898;0.340254186;0.238051661;0.183115632;0.205999985;0.213026116;0.199792814;0.236640451;0.178944587;0.326187047;0.171309512;0.246206322;0.330966292;0.383288809;0.429952983;0.511953421;0.453155581;0.272773672;0.172761711;0.110626908;0.14598557
295;0.23;0.228;4.8;1.35;310;124;42.3;1.67;-1.38;-0.557;45;0.384;18.1;5.5;1.78;2.73;0.35;0.242;23.3;5.27;3.25;0.00974;22.79;-1.220587709;0.567328325;0.906827115;2.163968235;2.821516432;1.376394462;0.836013723;0.609850185;0.6554069;0.535388058;0.462796167;0.334463082;0.29540488;0.729218218;0.457473518;0.598570658;0.626937766;0.718315318;0.756934378;1.019078586;1.520913001;1.127141528;0.484464504;0.222619041;0.243357546
296;0.345;0.315;3.81;1.34;346;84.2;25.4;0.29;-0.0242;-0.307;43.7;0.306;9.5;1.42;1.78;3.66;0.348;0.0607;25.9;5.6;-4.8;0.00631;0.18;-6.318729544;0.557853887;0.632844726;0.956171285;1.144984271;0.749326358;0.669538742;0.377082149;0.397553016;0.411122106;0.446380908;0.255506812;0.385295064;0.679237908;0.411873357;0.538536999;0.660889735;0.753077306;0.749865314;0.867003296;0.959775504;0.777127966;0.279989094;0.215547509;0.227606995
297;0.39;0.224;2.3;1.32;333;90.7;17.9;1.86;-0.91;0.45;19.6;0.338;18.4;-3.83;1.23;3.91;0.354;0.158;25.2;6.1;7.94;0.00473;0;-11.58915485;0.226845546;0.451007532;0.556210708;0.568223791;0.395030808;0.304759899;0.218249764;0.21731907;0.242887251;0.195732876;0.151569303;0.166042056;0.370455836;0.177990703;0.296365935;0.376225798;0.381021132;0.429559685;0.516956486;0.4755734;0.305400789;0.180886942;0.168090838;0.109689892
298;0.259;0.336;3.1;1.14;351;100;30.1;0.647;-1.03;-0.297;9.53;0.21;9.15;-4.56;2.73;3.33;0.241;0.087;23.8;5.5;-1.8;0.00778;0.03;-7.988128439;0.306916982;0.620836206;0.839643832;0.779732596;0.498975581;0.413770135;0.29667099;0.282686367;0.333938841;0.266039651;0.203854591;0.218105805;0.454471633;0.206648558;0.224151206;0.28129546;0.412987825;0.668045599;0.848279521;0.936721265;0.634692237;0.221259659;0.197507464;0.189443107
299;0.204;0.309;2.83;1.4;326;116;45.6;-2.17;0.219;-0.264;29.2;0.298;4.51;-19.7;2.06;2.56;0.366;0.203;21.4;6.87;-2.89;0.00707;3.7;-3.259515613;1.311873551;0.638654176;0.899305753;1.211766992;0.858029723;0.822088495;0.502925599;0.976099446;1.964809373;1.410975773;0.680735381;0.390056381;1.038661785;0.495645357;0.681553222;0.774463825;0.871231128;0.870214216;0.852941908;0.734644476;0.452146493;0.361874024;0.182066846;0.356505881
300;0.256;0.29;4.12;1.37;356;92;60.5;3.67;-1.25;0.386;21.2;0.241;3.24;-14.8;1.9;1.05;0.351;0.197;21.7;4.67;15.3;0.00662;87.3;1.927077226;1.23459762;1.818030886;3.191976622;2.470153384;1.594571024;1.961873285;0.755456835;1.077457611;1.16303442;0.718851713;0.836901739;0.740669901;1.668128558;0.538256532;0.574295083;0.70958822;1.304163225;2.270621434;2.611326799;2.452095225;1.521072444;0.608222326;0.355776469;0.291978265
301;0.249;0.39;3.89;1.3;344;118;26.7;-0.323;-0.4;0.825;18.9;0.26;13.2;-17;2.49;3.31;0.239;0.149;25.1;4.28;19.8;0.00508;0.01;-8.83480067;0.340196444;0.571306422;0.816064794;0.7225201;0.480614137;0.339263584;0.327988388;0.373515906;0.476444932;0.685639633;0.520514604;0.166672177;0.496723503;0.229191245;0.343266525;0.413653255;0.468846876;0.649008714;0.669016782;0.5570387;0.328152091;0.218092068;0.188974955;0.213167327
302;0.265;0.292;3.95;1.22;317;92.7;16;0.383;2.78;-0.424;130;0.291;15.2;-26.8;2.3;3.44;0.245;0.115;23.7;4.72;-8.88;0.00626;56.12;0.245629873;0.372341042;0.197328301;0.272892951;0.384520646;0.371193397;0.25422168;0.406406401;0.355151249;0.430308143;0.527945952;0.31267188;0.132368575;0.424762396;0.450755889;0.753211929;3.388748318;2.691026591;2.173042484;0.777756469;0.460830331;0.350647885;0.2199732;0.146584015;0.357508706
303;0.242;0.33;3.35;1.38;328;99.2;15.9;1.3;0.515;-0.102;9.8;0.276;13.4;3.71;2.28;3.2;0.323;0.205;23.1;6.17;-15.3;0.00803;0;-11.46482248;0.299891108;0.503122853;0.663071033;0.580100436;0.340671488;0.22828069;0.196339237;0.209416845;0.227919361;0.196112623;0.29406813;0.174836302;0.247499556;0.140499626;0.155108888;0.18795284;0.276133511;0.412480021;0.509471819;0.445074821;0.270125573;0.229955465;0.136525056;0.195388566
304;0.357;0.368;4.7;1.16;323;122;22.6;-0.297;0.0789;-0.312;15.7;0.397;9.51;0.158;2.01;2.93;0.244;0.219;23.6;3.56;22.6;0.00657;0;-9.91351851;0.242485874;0.571065396;0.740414904;0.6810199;0.410186732;0.257749343;0.24436973;0.261325552;0.277588191;0.202986994;0.239332137;0.177172618;0.31529821;0.172312802;0.222433102;0.271631056;0.359361782;0.560455024;0.681217387;0.581081398;0.353022595;0.214856351;0.157636416;0.184591673
